PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence

1,2023-10-04,16:26:02.37,1,1,"Reimer, Bryce",1000098913,Left,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,0,0,Splitter,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,75.47839,4.402908,0.117211,948.925299,82.817702,8:45,5.47068,-1.6251,4.55035,-51.59763,0.40996,-10.09142,5.37028,-2.35448,68.52003,-4.906823,-1.646314,0.519045,,,,,,,,,,,,4.89422,-0.49736,1.62293,50,5.88103,0.20844,-109.08833,6.51422,5.88281,19.64174,-32.77187,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231004-DepewField-Private-1,3d1a4c60-62f4-11ee-82e9-b11c7aa129b6,72.61885,,,6.95836,,,,,,,397ec0a9-c6de-487f-94ce-59c4a22a62bb,2023-10-04,20:26:02.37,2023-10-04T16:26:02.3753200-04:00,2023-10-04T20:26:02.3753200Z,,v3,471249,471249,,,,Undefined,BUC_BIS,ac3959aa-6fab-42c3-89a1-15d9af8b7980,55.94715,-110.15393,9.82087,5.4794,8.29215,-16.38593,1.62028,-0.11072,2.9414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,

2,2023-10-04,16:26:18.35,1,2,"Reimer, Bryce",1000098913,Left,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,82.52841,-0.217747,2.412794,1852.695882,115.632094,9:45,5.74696,-1.45969,4.95487,-33.55163,9.16591,-16.13395,2.74507,-0.52313,75.18728,-6.3541,-0.432485,0.470408,,,,,,,,,,,,8.75473,4.9874,1.24002,50,5.69849,-4.34777,-119.61023,-1.66776,12.61944,24.14911,-24.985,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231004-DepewField-Private-1,46992d10-62f4-11ee-82e9-b11c7aa129b6,80.12717,,,7.34113,,,,,,,397ec0a9-c6de-487f-94ce-59c4a22a62bb,2023-10-04,20:26:18.35,2023-10-04T16:26:18.3527408-04:00,2023-10-04T20:26:18.3527408Z,,v3,471249,471249,,,,Undefined,BUC_BIS,521787a1-b4c1-49f5-842c-5d613c550d8d,55.54479,-120.72452,12.07456,5.74884,-0.5149,-12.4925,1.45407,-4.93006,6.30972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,

3,2023-10-04,16:26:42.06,1,3,"Reimer, Bryce",1000098913,Left,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.4327,3.751153,0.23276,1995.261149,302.280608,4:00,5.60591,-1.28905,5.05873,-62.66476,-6.60725,13.6728,3.92637,0.06985,65.29338,-7.642148,2.647452,0.538875,,,,,,,,,,,,-6.62256,-3.8037,1.25571,50,5.91383,-0.96456,-104.74052,4.76154,-7.22558,20.63623,-36.32411,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231004-DepewField-Private-1,54cbf8e0-62f4-11ee-82e9-b11c7aa129b6,69.94649,,,7.13932,,,,,,,397ec0a9-c6de-487f-94ce-59c4a22a62bb,2023-10-04,20:26:42.06,2023-10-04T16:26:42.0673520-04:00,2023-10-04T20:26:42.0673520Z,,v3,471249,471249,,,,Undefined,BUC_BIS,49546a0c-fd3b-4e62-83c2-c33b454f1fe0,55.43951,-105.80679,10.31812,5.61931,6.63841,-18.16206,1.29591,-0.59121,-3.61279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,

4,2023-10-04,16:26:56.59,1,4,"Reimer, Bryce",1000098913,Left,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.90787,3.243417,-0.614064,2101.089214,301.926258,4:00,5.5096,-1.34354,5.04707,-55.94161,-2.48933,6.94363,3.91053,-1.34413,66.97299,-6.933864,0.612253,0.526204,,,,,,,,,,,,-3.58729,-1.58158,1.39638,50,5.7749,0.86732,-106.96745,4.15654,-4.11472,20.17482,-33.98816,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231004-DepewField-Private-1,5d7205c0-62f4-11ee-82e9-b11c7aa129b6,71.63079,,,6.93488,,,,,,,397ec0a9-c6de-487f-94ce-59c4a22a62bb,2023-10-04,20:26:56.59,2023-10-04T16:26:56.5924336-04:00,2023-10-04T20:26:56.5924336Z,,v3,471249,471249,,,,Undefined,BUC_BIS,49510f26-1ec1-4f2b-8247-9f3420b88eab,55.44999,-107.99046,10.08741,5.52043,5.87999,-16.99408,1.34711,1.07597,-2.05736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,

5,2023-10-04,16:27:12.12,1,5,"Reimer, Bryce",1000098913,Left,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,3,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,83.34526,0.225141,2.881065,2191.67899,120.654343,10:00,5.63704,-1.50185,5.11946,-28.96572,12.95245,-19.34922,3.43558,-0.39813,75.28494,-5.141862,-0.53821,0.465986,88.59579,37.505167,14.618425,3677.976675,104.60383,74.30556,34.02967,331.7447,324.05734,21.789908,5.165962,10.57032,6.78874,1.24678,50,5.63628,-5.23915,-120.68868,-0.52538,15.41047,26.02097,-22.27674,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231004-DepewField-Private-1,66aadcc0-62f4-11ee-82e9-b11c7aa129b6,80.88753,93.07553,,8.06032,,,,1.78382,3.48427,0.39611,397ec0a9-c6de-487f-94ce-59c4a22a62bb,2023-10-04,20:27:12.12,2023-10-04T16:27:12.1226224-04:00,2023-10-04T20:27:12.1226224Z,FlyBall,v3,471249,471249,,,,Undefined,BUC_BIS,0f653509-18a0-4b0a-a4d6-6921f8cdfa26,55.37907,-121.84291,13.01049,5.63767,0.46276,-11.13837,1.49434,-5.92273,7.70523,208.624236,1.79246,99.55423,-19.24984,3.83689,0.08219,-0.36369,0.11114,-0.01436,0.0007,3.47795,79.2302,-20.22157,1.74998,-0.4271,0.08837,-0.00304,-0.0016,0.00016,0.39407,26.05603,1.28038,-1.06885,0.277,-0.03738,0.00339,-0.00038,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
