PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-09-17,10:42:13.82,1,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.32436,-2.292142,-2.742389,2496.845902,219.809805,1:15,5.75326,1.24645,6.43986,-15.63178,17.22883,13.48139,2.34078,-0.15206,83.4829,-5.295357,-0.300334,0.412581,96.96715,8.865026,-6.249348,1277.318386,,,,132.68634,132.68634,-8.787764,1.065961,-7.8367,9.97737,-1.05746,50,5.58304,5.81658,-132.58475,-5.72552,-13.94223,28.48483,-14.42331,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,656d5d90-5568-11ee-9c77-b937c46de026,91.35763,7.247,,7.84145,,,,0.95802,2.32017,0.13389,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:42:13.82,2023-09-17T10:42:13.8228806-04:00,2023-09-17T14:42:13.8228806Z,LineDrive,v3,471249,471249,,,,Undefined,BUC_BIS,99812b86-05e6-4b6f-b290-94ddbe1364a4,54.05985,-133.45413,14.24242,5.75107,-5.28531,-7.21166,-1.24148,6.2421,-6.97112,40.503795,0.95802,139.68432,-17.99438,1.74177,-0.36238,0.06512,-0.01002,0.00179,-0.00021,2.32017,21.91687,-25.92449,3.74046,-0.74418,0.18322,-0.03862,0.00681,-0.00076,0.13389,-15.29631,-4.0193,0.47175,-0.09796,0.01929,-0.00344,0.00063,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2023-09-17,10:43:01.61,2,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Keys, Sean",1000120893,Left,BUC_BIS,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.06866,2.476235,-1.735223,1705.62284,271.884335,3:00,5.13926,2.31594,5.79944,-43.35026,0.92181,18.60048,3.83237,2.25156,72.38092,-5.548436,1.595766,0.478891,,,,,,,,,,,,-9.92178,0.21331,-2.18409,50,5.31753,2.77328,-116.0646,3.60192,-13.37222,24.14745,-31.88654,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,81e82ae0-5568-11ee-9c77-b937c46de026,78.70781,,,7.68774,,,,,,,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:43:01.61,2023-09-17T10:43:01.6144966-04:00,2023-09-17T14:43:01.6144966Z,,v3,471249,471249,,,,Undefined,BUC_BIS,6a3df9ea-d65e-47f4-9e53-9e8e1a1bb9f1,54.6984,-117.03803,12.07372,5.14643,4.88732,-15.94327,-2.30676,3.31234,-6.68611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-09-17,10:43:19.10,2,2,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Keys, Sean",1000120893,Left,BUC_BIS,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Error,0,1,,89.59037,-2.515649,-3.074581,2396.409637,227.440852,1:30,5.4799,2.25394,6.36333,-19.00403,15.39131,15.51544,1.57636,0.71477,81.69217,-6.133103,-0.268174,0.422106,65.13878,-14.151905,28.882917,,,,,9.22206,3.45895,15.968534,0.073332,-9.05067,9.11331,-2.0386,50,5.28866,6.37821,-129.96674,-6.25302,-15.40989,28.39927,-16.65756,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,8c562680-5568-11ee-9c77-b937c46de026,89.29624,1.71761,,7.89819,,,,2.90157,1.71761,-0.75326,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:43:19.10,2023-09-17T10:43:19.1049286-04:00,2023-09-17T14:43:19.1049286Z,GroundBall,v3,471249,471249,,,,Undefined,BUC_BIS,10a4c7fe-a03e-4965-8ae1-cc081d74e1c1,54.13686,-130.86757,14.19964,5.47862,-5.72464,-8.32878,-2.24867,6.86701,-7.70494,,2.89893,81.3374,,,,,,,,1.71837,-23.42244,,,,,,,,-0.75471,44.86902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2023-09-17,10:43:59.85,3,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.45054,-1.238492,-5.605736,2173.924591,236.61874,2:00,5.41316,2.08567,6.22474,-25.65631,13.46434,18.42619,2.12675,-1.56765,76.84588,-6.072697,-2.298956,0.450168,,,,,,,,,,,,-11.12056,7.72571,-1.67403,50,5.30736,11.27141,-122.13767,-3.39224,-16.73761,24.86757,-20.54604,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,a4aaa2b0-5568-11ee-9c77-b937c46de026,83.72975,,,7.60466,,,,,,,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:43:59.85,2023-09-17T10:43:59.8526534-04:00,2023-09-17T14:43:59.8526534Z,,v3,471249,471249,,,,Undefined,BUC_BIS,f0869a2b-593e-4567-b4dc-cd155df028f8,54.27374,-123.00474,12.43379,5.41315,-2.67586,-10.27302,-2.07721,11.85501,-8.3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-09-17,10:44:20.06,3,2,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.17553,1.31835,-4.043335,2221.657136,137.463735,10:30,5.16699,2.33419,5.71505,-42.09376,7.86012,-5.80851,2.8906,-1.92277,69.04059,-6.430586,-5.076772,0.508693,,,,,,,,,,,,1.82957,4.11614,-1.99188,50,5.25161,7.90985,-108.89858,1.24819,2.19876,18.98081,-27.2273,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,b0b70c10-5568-11ee-9c77-b937c46de026,74.09658,,,6.13493,,,,,,,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:44:20.06,2023-09-17T10:44:20.0609350-04:00,2023-09-17T14:44:20.0609350Z,,v3,471249,471249,,,,Undefined,BUC_BIS,121183c8-e811-4962-ab83-678d9c6bc2e9,54.7827,-109.72903,9.49041,5.17095,2.43943,-13.61365,-2.33584,7.81365,1.09938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-09-17,10:44:43.95,3,3,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,2,0,Fastball,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,87.98025,-2.061638,-3.52379,2442.357068,226.014566,1:30,5.54886,1.88397,6.31259,-19.8784,15.93536,15.25158,1.98884,-0.09508,80.02902,-5.848406,-0.770017,0.430721,71.38399,6.854808,-30.260225,2834.496706,,,,72.04689,68.72683,-31.459455,0.716487,-9.03327,9.27312,-1.63295,50,5.38804,7.26559,-127.57283,-5.1547,-14.79146,27.8137,-16.98984,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,beea7420-5568-11ee-9c77-b937c46de026,87.51003,3.76652,,7.95123,,,,2.87302,2.02935,0.09066,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:44:43.95,2023-09-17T10:44:43.9536710-04:00,2023-09-17T14:44:43.9536710Z,GroundBall,v3,471249,471249,,,,Undefined,BUC_BIS,108db53b-2662-4ea7-b9dd-17afa933eef5,54.18705,-128.48245,13.90685,5.54754,-4.59906,-8.49492,-1.87847,7.74933,-7.39573,54.381219,2.87302,89.78459,-11.58941,0.62738,-0.09087,-0.02393,0.01077,-0.00145,0.00017,2.02935,12.4959,-23.19765,2.85797,-0.55765,0.12826,-0.01979,0.00321,-0.00054,0.09066,-52.3823,-0.90957,0.97613,-0.24081,0.06632,-0.01218,0.00192,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2023-09-17,10:45:25.67,4,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Trommer, Michael",1000274079,Right,BUC_BIS,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,71.36827,2.481687,-2.119763,2579.976576,64.760035,8:15,5.27455,2.4269,5.08041,-63.53629,-6.6587,-17.89796,2.32229,-1.06369,65.6229,-8.986704,-5.279741,0.542803,,,,,,,,,,,,8.23473,-3.4441,-2.21146,50,5.45988,4.50179,-103.44807,2.40173,8.87924,18.05561,-35.88773,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,d7d8bf50-5568-11ee-9c77-b937c46de026,69.4404,,,5.74538,,,,,,,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:45:25.67,2023-09-17T10:45:25.6707654-04:00,2023-09-17T14:45:25.6707654Z,,v3,471249,471249,,,,Undefined,BUC_BIS,88abd71e-a43e-4d68-939c-dc9587bc83e3,55.42147,-104.39004,9.02781,5.28574,4.27399,-17.94387,-2.43423,4.03856,4.43962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-09-17,10:45:47.16,4,2,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Trommer, Michael",1000274079,Right,BUC_BIS,Undefined,1,Top,1,0,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,73.3853,2.020466,-0.461332,2709.689169,59.350221,8:00,5.48211,2.2322,4.93204,-63.2646,-9.15398,-18.40304,2.12073,0.26254,67.29866,-9.371829,-3.710745,0.529435,59.78666,11.840809,-154.9489,3833.846557,,,,73.32169,52.2168,-157.260383,0.933355,8.96666,-4.6289,-2.17118,50,5.62587,1.57229,-106.44141,1.57777,10.20891,19.56635,-37.44424,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,e4a878b0-5568-11ee-9c77-b937c46de026,71.1937,5.42876,,6.08664,,,,0.45253,1.81293,-0.18491,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:45:47.16,2023-09-17T10:45:47.1622726-04:00,2023-09-17T14:45:47.1622726Z,GroundBall,v3,471249,471249,,,,Undefined,BUC_BIS,cd9c47e8-1a1b-4ed5-a833-6005934315fc,55.57067,-107.46055,9.78318,5.4929,3.5281,-18.72212,-2.23922,1.04055,5.10446,40.040795,0.45253,-77.74797,4.82691,0.44106,-0.1475,0.06358,-0.00556,-0.00365,0.00123,1.81293,17.99277,-23.29999,2.46454,-0.49766,0.10445,-0.01763,0.00559,-0.00129,-0.18491,-36.33893,7.37697,-1.00114,0.21679,-0.0286,0.00954,-0.00646,0.00169,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2023-09-17,10:46:18.22,4,3,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Trommer, Michael",1000274079,Right,BUC_BIS,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.6879,-1.566849,-3.184106,2541.131223,214.963855,1:15,5.93407,1.69594,6.37633,-14.52107,18.99548,12.50847,3.27985,-0.19417,82.52896,-4.381764,-0.923076,0.416679,94.26364,30.150869,-0.427067,2863.13153,109.81114,59.41329,-6.43529,358.65581,353.6119,-10.15087,5.038569,-7.46599,10.7013,-1.47179,50,5.81401,6.82224,-131.60471,-3.96874,-13.04116,28.9803,-13.48163,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,f717b5b0-5568-11ee-9c77-b937c46de026,90.45927,82.17994,,8.15894,,,,1.59278,3.30352,0.18832,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:46:18.22,2023-09-17T10:46:18.2210630-04:00,2023-09-17T14:46:18.2210630Z,FlyBall,v3,471249,471249,,,,Undefined,BUC_BIS,c4a76878-83b2-4b43-8821-d489bd21c64e,54.12285,-132.50948,14.49015,5.93134,-3.54784,-6.74081,-1.69114,7.22938,-6.52058,150.513802,1.59511,119.49984,-21.82032,4.78449,-0.87163,0.12834,-0.01711,0.002,-0.00012,3.30354,69.43496,-16.77241,0.61695,0.14068,-0.11415,0.03543,-0.00511,0.00028,0.189,-0.90598,-6.57757,1.98543,-0.45605,0.07597,-0.00874,0.00068,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2023-09-17,10:47:01.36,5,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Nascimento, Luke",10109928,Right,BUC_BIS,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,74.57234,0.396832,-3.543852,2135.726621,78.971132,8:45,5.22317,2.29011,5.4686,-50.81585,1.24264,-3.28965,1.36062,-1.30485,67.63097,-8.899608,-4.128342,0.519299,,,,,,,,,,,,0.4865,1.02693,-1.97576,50,5.22366,6.80531,-107.90155,-0.85582,0.5632,21.9395,-30.98522,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230917-DepewField-Private-1,10e64ec0-5569-11ee-9c77-b937c46de026,72.58336,,,6.94137,,,,,,,0c221858-5587-4a38-b5fd-eb779f564e28,2023-09-17,14:47:01.36,2023-09-17T10:47:01.3606470-04:00,2023-09-17T14:47:01.3606470Z,,v3,471249,471249,,,,Undefined,BUC_BIS,eb667f07-5833-43de-b8c7-1f4245ddbf01,55.02881,-108.91925,10.96975,5.23003,0.58148,-15.49261,-2.29083,6.77919,0.2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
