PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-08-30,14:11:20.87,1,1,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.10787,-0.706983,2.883532,1631.188904,138.400871,10:30,5.81875,-1.02339,4.97524,-33.61494,16.03918,-12.55516,2.34889,0.65609,69.34436,-6.924811,0.670423,0.507165,,,,,,,,,,,,7.14697,8.7013,0.75558,50,5.72391,-5.09402,-111.46368,-2.46499,8.82415,23.51145,-21.43084,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,9fad47b0-4760-11ee-9287-1928d6de219c,74.3199,,,7.76351,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:11:20.87,2023-08-30T14:11:20.8780000-04:00,2023-08-30T18:11:20.8780000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,1b8202ce-3339-4250-834e-975007ba8908,55.51921,-112.62185,11.75573,5.81934,-1.40931,-10.71542,1.01722,-5.52869,4.41207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-08-30,14:11:30.23,1,2,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.97942,0.144517,2.450621,1747.348561,120.16171,10:00,5.86469,-0.91338,4.903,-36.53211,12.0354,-17.58064,2.95715,-0.05936,70.18016,-6.576686,-0.646093,0.501585,,,,,,,,,,,,9.44252,6.40721,0.6891,50,5.84906,-4.084,-112.79859,-0.95643,11.95434,23.84178,-24.06244,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,a53c77a0-4760-11ee-9287-1928d6de219c,75.1467,,,7.79926,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:11:30.23,2023-08-30T14:11:30.2330000-04:00,2023-08-30T18:11:30.2330000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,d6d1c5c1-440f-4ee6-9eb5-34e95480ba99,55.59259,-113.97455,11.92089,5.86696,0.2304,-12.03122,0.90508,-4.67362,5.97717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-08-30,14:11:40.22,1,3,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.55397,-0.627348,-0.015824,1745.920311,115.710877,9:45,5.77059,-1.29343,4.95106,-42.07317,8.86902,-14.91127,1.67169,-2.55098,69.19227,-8.275172,-2.649249,0.513701,,,,,,,,,,,,7.38678,5.06422,1.30795,50,5.67543,0.62339,-109.56227,-2.61229,8.92951,20.3487,-26.05217,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,ab30d200-4760-11ee-9287-1928d6de219c,73.3743,,,6.36169,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:11:40.22,2023-08-30T14:11:40.2290000-04:00,2023-08-30T18:11:40.2290000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,d5bdabfa-3987-4d30-ae20-5872a78b88e3,55.54719,-110.58774,10.17435,5.77399,-1.2994,-13.02609,1.28787,0.17339,4.46476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-08-30,14:11:49.78,1,4,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,1,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.17726,-0.66507,1.822801,1763.340039,120.062756,10:00,5.77214,-1.07817,5.2199,-36.42573,9.9269,-14.25406,2.11102,-0.55161,71.66985,-7.370214,-0.705423,0.490014,,,,,,,,,,,,7.7043,5.64784,0.92113,50,5.6839,-3.06668,-114.69165,-2.54871,10.11448,24.06128,-24.75938,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,b0d75a80-4760-11ee-9287-1928d6de219c,76.92112,,,7.50741,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:11:49.78,2023-08-30T14:11:49.7880000-04:00,2023-08-30T18:11:49.7880000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,4630e066-2f4b-4b85-abd9-7e815f380551,55.27704,-115.79343,12.03064,5.77465,-1.41496,-12.37969,1.07216,-3.52983,5.05724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-08-30,14:11:58.89,2,1,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.84798,0.048784,3.739192,1841.534727,140.148874,10:45,5.79785,-0.92867,5.31628,-29.1545,16.37367,-12.28556,3.41419,1.56187,71.97922,-5.392475,1.564243,0.485637,,,,,,,,,,,,7.32209,8.65276,0.59869,50,5.78181,-7.04101,-115.48266,-0.81652,9.75595,24.18602,-20.64512,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,b645bc00-4760-11ee-9287-1928d6de219c,77.61446,,,7.86876,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:11:58.89,2023-08-30T14:11:58.8960000-04:00,2023-08-30T18:11:58.8960000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,25041158-b2e9-4d64-b3e1-a1136a3a8657,55.17941,-116.56236,12.09301,5.79769,0.10511,-10.32256,0.92273,-7.47654,4.87798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-08-30,14:12:09.67,2,2,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.34725,-0.511048,0.391452,1848.888551,139.583141,10:45,5.82143,-1.13449,5.23823,-31.99773,15.13958,-11.47977,2.6746,-1.72321,71.045,-6.439832,-1.645123,0.494144,,,,,,,,,,,,5.85733,8.2041,1.10743,50,5.7512,-0.31202,-113.56345,-2.03279,7.56276,22.9911,-21.58124,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,bcb783c0-4760-11ee-9287-1928d6de219c,76.27819,,,7.30225,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:12:09.67,2023-08-30T14:12:09.6700000-04:00,2023-08-30T18:12:09.6700000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,8dd0d722-033d-4afa-ab85-c23db61f9799,55.25807,-114.62301,11.49555,5.82197,-1.03821,-10.79062,1.12984,-0.66056,3.78138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-08-30,14:12:28.76,2,3,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,73.82179,-0.108703,3.863841,1447.966594,138.58834,10:30,5.57536,-1.12376,5.28667,-35.70711,17.80414,-13.92765,2.49746,1.34944,66.49674,-6.751042,1.399247,0.526495,9.80262,-16.929327,118.703781,,,,,6.46338,1.38248,125.387647,0.477734,8.19264,9.50949,0.78176,50,5.54012,-6.67019,-106.6951,-1.2557,9.28975,21.15324,-21.39112,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,c8192e30-4760-11ee-9287-1928d6de219c,71.59131,2.30739,,7.32506,,,,-0.10218,2.30739,-1.37973,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:12:28.76,2023-08-30T14:12:28.7670000-04:00,2023-08-30T18:12:28.7670000Z,GroundBall,v3,471249,test-11,,,,Undefined,BUC_BIS,6ff92981-0707-4f0e-bf04-e83b88669210,55.20783,-107.72265,10.57662,5.57588,-0.2166,-10.69556,1.11673,-7.12146,4.64488,,-0.02414,-7.62098,,,,,,,,2.35685,-4.82986,,,,,,,,-1.52225,13.91783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2023-08-30,14:12:41.46,2,4,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,3,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.97411,0.092581,2.610272,1492.615374,136.832404,10:30,5.6142,-1.15792,5.19249,-36.63329,16.63115,-13.76268,2.64861,0.15235,66.78603,-6.699267,0.174313,0.525279,,,,,,,,,,,,7.66863,8.8213,0.92648,50,5.59586,-4.34536,-107.05239,-0.93671,8.769,21.0034,-22.08699,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,cfb4a8e0-4760-11ee-9287-1928d6de219c,71.75696,,,7.18808,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:12:41.46,2023-08-30T14:12:41.4630000-04:00,2023-08-30T18:12:41.4630000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,01ae2144-c14b-47d2-936c-677f08549740,55.30233,-108.08769,10.5017,5.6152,0.152,-11.04349,1.15133,-4.7776,4.3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-08-30,14:12:55.94,2,5,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,3,1,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,73.46915,-1.754624,2.858106,1492.760747,138.948213,10:45,5.47151,-1.27618,5.63422,-36.57892,16.42784,-12.63335,0.78369,0.33982,66.79931,-8.544824,0.602166,0.524007,,,,,,,,,,,,7.34449,9.43508,1.04136,50,5.29901,-4.86161,-106.39326,-4.29571,8.3113,20.42099,-21.49696,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,d84e80c0-4760-11ee-9287-1928d6de219c,71.93119,,,6.66985,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:12:55.94,2023-08-30T14:12:55.9490000-04:00,2023-08-30T18:12:55.9490000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,fa4813cf-8ba1-4625-8aa0-c8c030ef1412,54.86309,-107.32262,10.2105,5.47225,-3.31739,-10.74848,1.27121,-5.23986,4.15565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-08-30,14:13:10.19,3,1,"Delaney, Ryan",1000198372,Left,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,72.15908,-1.64469,2.152151,1431.863163,133.47676,10:30,5.5815,-1.17071,5.5176,-42.49699,12.03698,-10.8254,0.50077,-0.05958,66.49533,-9.42886,0.220402,0.531502,,,,,,,,,,,,6.14744,7.03874,0.99094,50,5.40963,-3.55977,-104.67879,-4.24773,6.80924,17.95541,-24.37753,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-2,e0cc1e10-4760-11ee-9287-1928d6de219c,70.91684,,,5.66375,,,,,,,14de1fea-43b5-4a24-8701-60f6c98ac27c,2023-08-30,18:13:10.19,2023-08-30T14:13:10.1910000-04:00,2023-08-30T18:13:10.1910000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,11af13cd-40ea-4ad7-8f70-a3e93c4423fc,54.9822,-105.52991,8.97771,5.58359,-3.09218,-12.18877,1.16733,-3.88254,3.40462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
