PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-01,10:30:30.00,1,1,"Maxwell, Hadley",1000240751,Right,BUC_BIS,"Alexander, Matt",1000120889,Left,BUC_BIS,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,86.14608,-1.989726,2.367568,2020.508938,140.389286,10:45,5.87676,-2.14652,5.95972,-20.98556,16.94229,-12.92646,2.28058,-1.02702,78.15342,-5.967098,0.04569,0.443252,73.809,29.073969,13.803764,2316.745153,105.07149,44.29681,32.55737,247.33028,239.45134,20.401151,3.646596,7.35867,9.6915,1.96574,50,5.70704,-4.63878,-124.90047,-4.95259,11.51525,27.36268,-17.00823,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,12bb3220-6067-11ee-aa8b-792115b74bcb,85.03617,46.3492,,7.99266,,,,0.7531,2.25052,1.01991,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:30:30.00,2023-10-01T10:30:30.0025794-04:00,2023-10-01T14:30:30.0025794Z,FlyBall,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,e653dfe9-d871-4232-b3e0-c2ba251f8b9f,54.53789,-125.89069,13.68134,5.87513,-4.33709,-8.50411,2.14115,-5.0555,5.75762,211.65157,0.75264,91.89713,-14.3425,3.30813,-0.8695,0.28281,-0.08272,0.01462,-0.00106,2.25121,52.57966,-16.88033,0.68267,0.18331,-0.18903,0.07248,-0.01298,0.00089,1.01993,22.57248,0.95482,-0.41973,0.08043,0.00565,-0.00724,0.00155,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,,,1,1,"Magovern, Ben",1000120882,Left,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Bottom,0,0,0,Fastball,,InPlay,Undefined,Popup,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,2b6d5eb0-6067-11ee-aa8b-792115b74bcb,,,,,,,,,,,d852d632-59c3-4c38-9f95-6b0c43e9099a,,,,,,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-10-01,10:31:14.36,2,1,"Magovern, Ben",1000120882,Left,BUC_BIS,"Swenson, Andrew",10148141,Right,BUC_BIS,Undefined,1,Bottom,1,0,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,78.77228,-1.191208,3.253891,1936.754065,128.953816,10:15,5.74879,-1.96796,6.38581,-32.26269,11.85457,-12.9765,1.96256,-0.05298,72.51069,-7.229881,0.905512,0.478053,,,,,,,,,,,,7.70489,6.91638,1.73962,50,5.64791,-6.06496,-114.39952,-3.25563,10.23743,20.58664,-22.98432,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,2d321920-6067-11ee-aa8b-792115b74bcb,78.8458,,,6.2616,,,,,,,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:31:14.36,2023-10-01T10:31:14.3676866-04:00,2023-10-01T14:31:14.3676866Z,,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,d70679af-8815-4483-b1c1-870c953a1746,54.11453,-115.13757,10.29332,5.74986,-2.43163,-11.49216,1.96364,-6.43198,5.11872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-01,10:31:30.17,2,2,"Magovern, Ben",1000120882,Left,BUC_BIS,"Swenson, Andrew",10148141,Right,BUC_BIS,Undefined,1,Bottom,1,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.56428,0.656153,2.172975,1828.996154,112.827941,9:45,5.67061,-2.29154,6.44611,-36.94841,7.65682,-14.64737,3.19492,-1.51464,71.51446,-6.28538,-0.483082,0.480689,,,,,,,,,,,,8.24693,4.28028,2.14323,50,5.70096,-3.80896,-114.09752,0.28647,10.78944,22.47033,-26.57418,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,3694bf40-6067-11ee-aa8b-792115b74bcb,78.41335,,,7.04981,,,,,,,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:31:30.17,2023-10-01T10:31:30.1711810-04:00,2023-10-01T14:31:30.1711810Z,,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,38c7c4d0-17f8-4dd9-affc-e0af0f5a59af,54.05131,-114.89262,11.23516,5.67419,1.22677,-13.28709,2.28476,-4.19074,5.39472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-01,10:31:45.62,2,3,"Magovern, Ben",1000120882,Left,BUC_BIS,"Swenson, Andrew",10148141,Right,BUC_BIS,Undefined,1,Bottom,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.19212,-1.58654,3.055549,2107.689767,140.395185,10:45,5.84846,-1.99256,6.19157,-18.52812,18.10351,-13.94363,2.83722,-0.3308,79.16551,-5.133907,0.542721,0.435612,72.92156,34.369351,155.235508,2508.445236,,,,,52.5722,,,8.14248,10.21961,1.76912,50,5.71938,-6.19676,-126.4602,-4.0083,13.09022,27.53261,-15.74451,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,3fcc36b0-6067-11ee-aa8b-792115b74bcb,86.52762,29.72916,,8.02661,,,,0.80321,2.60223,0.27489,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:31:45.62,2023-10-01T10:31:45.6224706-04:00,2023-10-01T14:31:45.6224706Z,,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,57fbce62-cd9f-4cce-881d-a4aabd28f100,54.30679,-127.39441,13.76631,5.84632,-3.47407,-7.87225,1.98692,-6.64093,6.54511,357.05357,0.80321,-80.16096,4.38192,0.23013,-0.13686,0.05702,-0.01399,0.0036,-0.00065,2.60223,60.37684,-29.23753,3.77522,-0.82533,0.16873,-0.03205,0.00525,-0.00018,0.27489,36.9793,-2.52842,0.06914,0.0201,-0.01627,0.00475,-0.00175,0.00046,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2023-10-01,10:32:05.56,2,4,"Magovern, Ben",1000120882,Left,BUC_BIS,"Swenson, Andrew",10148141,Right,BUC_BIS,Undefined,1,Bottom,2,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.01722,0.482071,1.611736,1932.039279,280.290732,3:15,5.94263,-2.14969,5.48122,-49.44526,-0.76787,13.88808,2.27344,0.51607,69.79797,-8.569254,4.086407,0.502152,,,,,,,,,,,,-6.41843,0.02098,1.9988,50,5.9519,-3.6868,-111.60626,-0.69663,-7.94255,23.62673,-32.14806,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,4bc05d20-6067-11ee-aa8b-792115b74bcb,75.06183,,,7.21925,,,,,,,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:32:05.56,2023-10-01T10:32:05.5670000-04:00,2023-10-01T14:32:05.5670000Z,,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,8394c474-dce3-485c-aaf7-7442c13fc7b4,55.01582,-112.66309,11.81337,5.9509,0.74137,-16.07403,2.15576,-3.33153,-3.97128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25389,,,0.936816,,,,2.16314,5.03188,-1.35846,74.55226,8.0354,50.22743,2.46143,86.90643,-10.48964,5.07924,14.54666,-12.13663,-1.34883,57.09115,-2.16856,High,High,High,,,High,High,High
7,2023-10-01,10:32:35.72,3,1,"Magovern, Ben",1000120882,Left,BUC_BIS,"Sinins, Ben",1000098914,Right,BUC_BIS,Undefined,1,Bottom,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.85566,-2.035322,4.585274,1973.400434,135.52054,10:30,5.70278,-2.05575,6.54618,-28.57021,14.79064,-13.02209,1.44862,1.07306,72.57774,-7.443821,2.227901,0.473937,,,,,,,,,,,,8.16327,8.83808,1.74278,50,5.54939,-8.80395,-115.5895,-4.85146,10.94173,23.41522,-20.32785,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,5db6e7b0-6067-11ee-aa8b-792115b74bcb,79.53054,,,7.27792,,,,,,,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:32:35.72,2023-10-01T10:32:35.7213634-04:00,2023-10-01T14:32:35.7213634Z,,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,9477bb92-fa0a-4150-8f4a-057ccc35622a,53.9497,-116.38684,11.70761,5.70281,-4.15925,-10.16392,2.04892,-9.17654,5.47086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-01,10:32:49.75,3,2,"Magovern, Ben",1000120882,Left,BUC_BIS,"Sinins, Ben",1000098914,Right,BUC_BIS,Undefined,1,Bottom,2,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.1268,-1.857078,1.980999,2058.051854,126.777555,10:15,5.86182,-1.9447,6.01392,-23.10072,13.74469,-16.73517,2.21482,-1.50346,79.37754,-6.201908,-1.030207,0.436881,,,,,,,,,,,,9.14993,7.98276,1.79813,50,5.70348,-3.68271,-126.42645,-4.8073,14.72619,27.12439,-19.32629,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,6603d810-6067-11ee-aa8b-792115b74bcb,86.27621,,,7.74925,,,,,,,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:32:49.75,2023-10-01T10:32:49.7515458-04:00,2023-10-01T14:32:49.7515458Z,,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,8a2b2d7d-41ee-4c37-b291-3d5e8191fe62,54.48398,-127.38484,13.5622,5.86128,-4.12444,-9.66314,1.93745,-4.20303,7.3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-01,10:33:05.01,3,3,"Magovern, Ben",1000120882,Left,BUC_BIS,"Sinins, Ben",1000098914,Right,BUC_BIS,Undefined,1,Bottom,2,2,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Triple,0,0,,85.53002,-2.26469,3.119396,1976.75651,131.040088,10:15,5.82532,-1.84282,6.07703,-23.64741,14.77957,-15.40784,1.7551,-0.23773,77.52106,-6.729242,0.346974,0.446158,96.08681,16.961208,-11.141799,6108.647081,107.74172,27.41022,-22.17152,297.18608,295.32779,-12.832622,3.125756,8.9356,8.72591,1.60959,50,5.63741,-6.14492,-123.92671,-5.60121,13.73554,27.43643,-18.76078,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,6f23cfe0-6067-11ee-aa8b-792115b74bcb,84.48212,31.85404,,8.00897,,,,2.19968,1.84676,0.23893,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:33:05.01,2023-10-01T10:33:05.0190786-04:00,2023-10-01T14:33:05.0190786Z,LineDrive,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,1d622b36-6755-4dde-824d-33930545b29c,54.42116,-124.90168,13.71821,5.82461,-4.93453,-9.38039,1.83663,-6.63303,6.86777,160.788175,2.19971,132.25539,-21.75704,4.78925,-1.00818,0.18824,-0.02908,0.00311,-0.00015,1.84675,41.11252,-14.77581,0.481,-0.00022,-0.00674,0.00109,0.00029,-6E-05,0.23893,-26.04792,1.47021,0.27659,-0.17122,0.05161,-0.01076,0.00142,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2023-10-01,10:33:54.49,4,1,"Magovern, Ben",1000120882,Left,BUC_BIS,"Nascimento, Luke",10109928,Right,BUC_BIS,Undefined,1,Bottom,2,0,0,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.71156,-0.273019,1.600265,2006.457148,277.156201,3:15,5.91227,-2.62252,5.8302,-48.07318,0.12988,12.28823,1.65229,-0.11056,69.92751,-9.108749,3.805606,0.499699,85.1368,-36.667948,17.497384,,,,,5.20155,4.40188,-2.125387,0.034374,-5.7776,0.63264,2.48453,50,5.86178,-3.55877,-111.30058,-2.01757,-7.1371,22.81331,-31.39256,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231001-DepewField-Private-1,8ca781b0-6067-11ee-aa8b-792115b74bcb,75.43025,2.56967,,6.78404,,,,1.90617,2.56967,-1.23064,d852d632-59c3-4c38-9f95-6b0c43e9099a,2023-10-01,14:33:54.49,2023-10-01T10:33:54.4906690-04:00,2023-10-01T14:33:54.4906690Z,GroundBall,v3,471249,471249,,"Adamo, Nicolas",1000098916,Right,BUC_BIS,aac05e03-530e-4942-909d-ae3bffe0088a,54.66865,-112.25344,11.40666,5.91867,-0.70638,-15.69628,2.62695,-3.26067,-3.56855,180,1.90484,95.7637,,,,,,,,2.57071,-74.75566,,,,,,,,-1.23106,30.18937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
