PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-09-16,10:35:51.28,1,1,"Myro, Mikey",1000198375,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.50344,2.546894,-1.648654,2263.734888,85.062408,8:45,5.21275,2.59844,4.78493,-46.44377,0.72374,-7.90406,3.75898,0.37673,72.08186,-5.841065,-3.036421,0.494303,,,,,,,,,,,,3.43276,0.12898,-2.42651,50,5.42685,3.61116,-113.78528,3.35154,4.5207,19.99896,-32.00419,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,560bbd80-549e-11ee-84eb-b55f592c1907,76.25378,,,6.42158,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:35:51.28,2023-09-16T10:35:51.2893164-04:00,2023-09-16T14:35:51.2893164Z,,v3,471249,471249,,,,Undefined,BUC_BIS,11be000f-c3f1-4ed6-a05e-460c44f5d282,55.71429,-114.78523,9.99948,5.21927,4.95175,-16.0021,-2.60141,3.38512,2.26035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-09-16,10:36:03.88,1,2,"Myro, Mikey",1000198375,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,1,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.09848,-0.569779,-4.586515,2222.260008,219.546858,1:15,5.56629,2.35451,5.02706,-23.37667,16.36418,12.53079,3.07886,-0.93826,78.23653,-4.880766,-2.383999,0.453722,,,,,,,,,,,,-7.35016,8.61437,-1.92544,50,5.49325,9.32391,-123.19708,-2.0447,-11.40515,22.26723,-18.80724,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,5d98e050-549e-11ee-84eb-b55f592c1907,83.07384,,,6.86195,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:36:03.88,2023-09-16T10:36:03.8836972-04:00,2023-09-16T14:36:03.8836972Z,,v3,471249,471249,,,,Undefined,BUC_BIS,38893d16-5886-453d-be27-ec5186ef9742,55.47165,-124.18212,11.13362,5.5653,-1.21273,-9.40362,-2.34906,9.82844,-5.70258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-09-16,10:36:18.29,1,3,"Myro, Mikey",1000198375,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.04152,-1.012036,-4.248309,2272.025327,221.403888,1:30,5.5078,2.2059,4.99879,-22.1321,17.69824,14.54272,2.7053,-0.60028,78.15558,-5.104114,-1.690918,0.454233,,,,,,,,,,,,-8.26772,9.3839,-1.80913,50,5.39277,8.4986,-123.15179,-2.94454,-12.81054,22.41213,-17.63402,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,662a53c0-549e-11ee-84eb-b55f592c1907,82.98048,,,6.88595,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:36:18.29,2023-09-16T10:36:18.2971116-04:00,2023-09-16T14:36:18.2971116Z,,v3,471249,471249,,,,Undefined,BUC_BIS,9cb18057-7f3e-4cb0-9b64-93c58dc2f281,55.5002,-124.14872,11.20607,5.5063,-2.16015,-8.81701,-2.19983,9.06843,-6.40527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-09-16,10:36:34.67,1,4,"Myro, Mikey",1000198375,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.23459,0.593882,-3.967428,2249.064089,224.751855,1:30,5.61323,2.41614,5.10882,-24.73596,14.55056,13.32087,4.11279,-0.21769,78.56999,-3.96026,-1.619724,0.451121,,,,,,,,,,,,-7.56705,7.43559,-2.0526,50,5.65025,7.98111,-123.56324,0.41246,-11.85452,21.55182,-20.52542,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,6fe3a560-549e-11ee-84eb-b55f592c1907,83.55278,,,6.6646,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:36:34.67,2023-09-16T10:36:34.6748140-04:00,2023-09-16T14:36:34.6748140Z,,v3,471249,471249,,,,Undefined,BUC_BIS,3df4ee04-5427-4862-9aae-9949043d3792,55.39057,-124.49991,10.77591,5.61294,1.30452,-10.26271,-2.41066,8.49632,-5.92726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-09-16,10:36:48.77,1,5,"Myro, Mikey",1000198375,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,3,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.57133,-1.093924,-4.204986,2218.676634,224.447368,1:30,5.50713,2.28934,5.24945,-23.8873,14.99835,13.58808,2.48567,-0.53684,78.87184,-5.502364,-1.803885,0.448814,70.88467,55.624062,140.116438,5102.544687,,,,,36.88421,,,-7.90839,8.1315,-1.91357,50,5.38899,8.54142,-124.0199,-3.1982,-12.44266,22.43567,-19.38036,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,784fdd90-549e-11ee-84eb-b55f592c1907,83.98237,47.91591,,6.6995,,,,2.36921,2.36002,0.46608,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:36:48.77,2023-09-16T10:36:48.7760620-04:00,2023-09-16T14:36:48.7760620Z,,v3,471249,471249,,,,Undefined,BUC_BIS,ba04721a-e6e5-4b22-a8e4-aa9795706bc0,55.25149,-124.96631,11.21784,5.50665,-2.38068,-9.69018,-2.28494,9.06629,-6.22133,334.558942,2.36921,-45.04356,-3.77101,1.63733,-0.4253,0.08422,-0.04006,0.08199,-0.05225,2.36002,85.80676,-27.93102,3.42166,-0.72556,0.13239,-0.05519,0.07246,-0.0408,0.46608,37.64031,-5.8998,0.5728,-0.04765,-0.00163,-0.00774,0.00067,0.00273,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2023-09-16,10:37:12.20,1,6,"Myro, Mikey",1000198375,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,78.0963,-0.262314,-3.848116,1560.776034,269.256606,3:00,5.26972,2.23835,5.1162,-45.14148,1.48067,15.92056,1.26026,-0.06541,72.76068,-8.404267,-1.034456,0.491437,,,,,,,,,,,,-8.90091,1.13902,-1.88896,50,5.20926,6.99915,-113.33446,-2.09291,-11.75346,17.75537,-30.67,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,864b45b0-549e-11ee-84eb-b55f592c1907,76.69846,,,5.33562,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:37:12.20,2023-09-16T10:37:12.2015468-04:00,2023-09-16T14:37:12.2015468Z,,v3,471249,471249,,,,Undefined,BUC_BIS,bc9cec58-7a85-4ac6-a593-9c021fa927a7,55.38667,-114.17523,8.87768,5.27398,-0.64059,-15.335,-2.23357,7.55572,-5.87673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-09-16,10:37:40.40,2,1,"Myro, Mikey",1000198375,Right,BUC_BIS,"Gardner-Sizer, Yasir",1000198370,Right,BUC_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.59237,0.886105,-4.396856,2215.341401,217.044728,1:15,5.64016,2.16892,4.84419,-20.42159,19.02879,13.5041,4.77984,-0.87674,78.66819,-2.894718,-2.031234,0.452061,,,,,,,,,,,,-7.69504,9.48827,-1.74562,50,5.71113,8.90891,-123.93344,1.21501,-12.11506,21.92069,-17.23571,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,972081c0-549e-11ee-84eb-b55f592c1907,83.37911,,,6.92418,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:37:40.40,2023-09-16T10:37:40.4051180-04:00,2023-09-16T14:37:40.4051180Z,,v3,471249,471249,,,,Undefined,BUC_BIS,f7a91a3c-11f2-4f33-aeb4-b08be130798e,55.65449,-124.92957,10.96034,5.63812,1.99824,-8.61785,-2.16298,9.45945,-6.05753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-09-16,10:37:55.88,2,2,"Myro, Mikey",1000198375,Right,BUC_BIS,"Gardner-Sizer, Yasir",1000198370,Right,BUC_BIS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.66636,-0.139428,-4.560733,2290.065815,211.738499,1:00,5.60051,2.17149,5.23398,-20.11753,18.64572,10.84965,3.79258,-1.22039,78.97508,-3.88159,-2.647082,0.448107,,,,,,,,,,,,-6.50607,9.68654,-1.75927,50,5.57291,9.42532,-124.11167,-0.9636,-10.28416,21.71939,-16.86253,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,a05699a0-549e-11ee-84eb-b55f592c1907,84.11486,,,6.69128,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:37:55.88,2023-09-16T10:37:55.8846700-04:00,2023-09-16T14:37:55.8846700Z,,v3,471249,471249,,,,Undefined,BUC_BIS,92954e58-6204-458a-aa3e-2ba21b81593c,55.26503,-125.02964,10.85969,5.59858,-0.2509,-8.43126,-2.16682,9.85998,-5.14208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-09-16,10:38:13.39,2,3,"Myro, Mikey",1000198375,Right,BUC_BIS,"Gardner-Sizer, Yasir",1000198370,Right,BUC_BIS,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.66414,-1.035296,-4.398042,2209.956469,215.108578,1:15,5.5113,2.21367,5.2249,-19.60981,20.18084,13.35725,2.90086,-0.81608,77.91446,-4.695682,-2.040702,0.454006,,,,,,,,,,,,-7.74666,10.6906,-1.8178,50,5.40125,8.85264,-122.63747,-2.84794,-11.92465,21.80996,-15.71767,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,aac02870-549e-11ee-84eb-b55f592c1907,83.02184,,,6.74968,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:38:13.39,2023-09-16T10:38:13.3987052-04:00,2023-09-16T14:38:13.3987052Z,,v3,471249,471249,,,,Undefined,BUC_BIS,40b3e9e2-108b-4382-b8ab-999b1d00ddd6,55.27403,-123.57185,10.90498,5.50884,-2.17457,-7.85884,-2.20801,9.36351,-5.96233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-09-16,10:38:34.55,2,4,"Myro, Mikey",1000198375,Right,BUC_BIS,"Gardner-Sizer, Yasir",1000198370,Right,BUC_BIS,Undefined,1,Top,0,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,1,0,,78.43613,1.831919,-3.463978,2353.599665,191.341273,12:30,5.19815,2.26439,4.90678,-36.76282,9.98776,1.74335,3.87075,-0.87013,72.46156,-4.84692,-3.157944,0.492113,,,,,,,,,,,,-1.69134,4.89571,-1.92695,50,5.34695,6.80842,-113.67142,2.35691,-2.24263,18.21661,-25.68253,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230916-DepewField-Private-2,b7629040-549e-11ee-84eb-b55f592c1907,76.59304,,,5.97458,,,,,,,b8d75700-fd53-435f-aeac-5a716783983c,2023-09-16,14:38:34.55,2023-09-16T10:38:34.5580000-04:00,2023-09-16T14:38:34.5580000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,962bb318-39b2-410f-b850-d766ca9f5321,55.59188,-114.56406,9.1083,5.20062,3.61538,-12.84126,-2.26326,6.91831,-1.12132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.35598,2.03955,0.655053,1.384497,-3.01558,3.47087,1.1137,-1.87183,4.98311,1.61836,127.27875,-0.07863,0.60012,-1.68839,105.13611,-8.74444,4.98218,10.96472,-10.56295,1.57453,-3.05947,1.72192,High,High,High,,,High,High,High
