PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,0,0,Slider,,BallinDirt,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,37287b40-63be-11ee-91d8-3d176314e663,,,,,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,,,,,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-10-05,16:32:15.13,1,2,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.03868,-0.325541,-2.762006,2757.821119,27.805935,7:00,5.82102,1.74317,5.30286,-60.64472,-11.82831,-7.1139,0.46133,-1.44454,70.59023,-11.256847,-4.027437,0.502868,,,,,,,,,,,,2.71425,-5.49988,-1.48662,50,5.74665,5.65812,-111.66243,-2.7075,3.37332,23.04144,-39.00936,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,45bd8b50-63be-11ee-91d8-3d176314e663,74.95491,,,6.44845,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:32:15.13,2023-10-05T16:32:15.1336422-04:00,2023-10-05T20:32:15.1336422Z,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,506c2433-f19f-4c5d-88cb-b56722ae924a,55.19939,-112.73021,11.52072,5.83023,-0.89974,-19.50468,-1.7452,5.5018,1.68666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-05,16:32:38.30,1,3,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.22443,1.339344,-3.585452,2682.986061,47.448188,7:30,5.8322,1.82171,5.3215,-64.81366,-13.5819,-16.64312,1.69065,-2.93435,68.93545,-10.350777,-6.53411,0.515159,,,,,,,,,,,,7.14579,-6.64418,-1.48464,50,5.90729,7.47125,-108.94557,0.3439,8.46039,21.80076,-40.04053,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,538dc4c0-63be-11ee-91d8-3d176314e663,73.16665,,,6.28898,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:32:38.30,2023-10-05T16:32:38.3099878-04:00,2023-10-05T20:32:38.3099878Z,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,904b26aa-1906-497c-af88-049e99e4ab32,55.18094,-109.97743,10.90038,5.84616,2.23907,-20.02027,-1.82878,7.07081,4.2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-05,16:32:57.64,1,4,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Chiaravallo, Michael",10109198,Right,BUC_BIS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,91.15456,-2.161082,-2.540367,2446.06134,219.884206,1:15,5.72165,1.78854,6.47694,-16.66658,16.5743,12.87946,2.34541,0.52755,82.56918,-5.373854,-0.205,0.414961,90.13367,-0.127738,-26.669711,3005.322263,,,,38.92372,38.3041,-26.097233,0.291964,-7.57658,9.70579,-1.61529,50,5.56197,5.36184,-132.26553,-5.4365,-13.27103,31.16539,-15.17344,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,5f080040-63be-11ee-91d8-3d176314e663,90.8336,2.35099,,8.58538,,,,1.88519,2.35099,-0.48683,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:32:57.64,2023-10-05T16:32:57.6422374-04:00,2023-10-05T20:32:57.6422374Z,GroundBall,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,53462102-f44a-44c7-adab-e2469c33fcb4,54.02213,-133.20988,15.58269,5.71974,-4.97672,-7.58672,-1.78385,5.76397,-6.63552,1.523761,1.88703,118.0476,-16.41267,,,,,,,2.35589,-0.51792,-25.91877,,,,,,,-0.48766,-59.29762,7.96394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2023-10-05,16:33:48.27,2,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.64596,-1.166068,-4.273367,2491.612215,227.279467,1:30,5.62689,1.70359,6.36111,-18.77757,14.90713,14.91725,2.98583,-0.99337,82.34639,-4.752021,-1.582144,0.417722,,,,,,,,,,,,-8.9528,8.42693,-1.40004,50,5.5333,9.19697,-131.35924,-3.20831,-15.56845,29.06406,-17.5201,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,7d327960-63be-11ee-91d8-3d176314e663,90.23323,,,8.29957,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:33:48.27,2023-10-05T16:33:48.2754534-04:00,2023-10-05T20:33:48.2754534Z,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,05a5c7c1-2a40-4b78-b745-4484ca187bae,54.13631,-132.27126,14.53203,5.62535,-2.65854,-8.76005,-1.6963,9.6855,-7.78423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-05,16:34:47.89,2,2,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,0,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.75178,0.551718,-3.643671,2349.544799,217.598634,1:15,5.51444,2.19796,5.61696,-34.73557,10.56611,7.11457,3.13578,-0.61433,72.58926,-5.850814,-2.377112,0.484427,,,,,,,,,,,,-4.51866,5.63504,-1.8912,50,5.53927,6.99871,-114.22271,0.00805,-6.02119,19.33976,-24.66521,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,a0c69910-63be-11ee-91d8-3d176314e663,77.80825,,,6.16252,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:34:47.89,2023-10-05T16:34:47.8957030-04:00,2023-10-05T20:34:47.8957030Z,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,07ee2f2c-adcd-4fe2-8c18-b046c68afa78,54.88138,-115.04624,9.66988,5.51656,1.05835,-12.33261,-2.19468,7.2551,-3.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-05,16:35:36.30,2,3,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.61657,-2.698403,-2.50138,2357.122751,219.505134,1:15,5.64671,1.89113,6.20114,-15.14127,18.58718,14.41875,1.88986,0.78223,82.7657,-5.604112,0.099526,0.417993,,,,,,,,,,,,-8.14949,10.70843,-1.70995,50,5.43577,5.14492,-131.46491,-6.604,-14.24779,28.13514,-13.45247,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,bd9811e0-63be-11ee-91d8-3d176314e663,90.17473,,,7.85087,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:35:36.30,2023-10-05T16:35:36.3098598-04:00,2023-10-05T20:35:36.3098598Z,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,715a6cbd-f28e-49dd-93fb-1a4a8d613ce6,54.29747,-132.38143,14.06757,5.64377,-6.16578,-6.72623,-1.88511,5.60906,-7.12389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-05,16:35:55.86,2,4,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.53874,-0.612223,-1.688687,2541.332402,206.652434,1:00,6.08061,1.29129,6.41325,-13.15375,19.6295,9.31501,4.42133,0.51453,83.23728,-3.182494,-0.001276,0.412095,,,,,,,,,,,,-5.28965,10.69083,-1.17419,50,6.03022,3.52828,-132.9742,-1.71735,-9.43621,29.49477,-13.10259,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,c9423700-63be-11ee-91d8-3d176314e663,91.46545,,,8.30146,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:35:55.86,2023-10-05T16:35:55.8668774-04:00,2023-10-05T20:35:55.8668774Z,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,2aa5aa9f-c816-461a-be7d-4f70409827ed,54.08282,-133.87674,14.74739,6.07664,-1.31641,-6.5513,-1.28658,3.81703,-4.71811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-05,16:36:14.50,2,5,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.19395,0.744283,-3.562973,2627.812463,27.33924,7:00,5.80766,1.82724,5.33725,-55.86452,-6.97996,-4.31689,1.85194,-1.87948,70.86767,-9.330996,-4.328541,0.503219,,,,,,,,,,,,1.25591,-3.27914,-1.50215,50,5.83446,7.04837,-110.56417,-0.44873,1.56628,18.32811,-36.26357,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,d46f3ce0-63be-11ee-91d8-3d176314e663,74.90261,,,5.32627,,,,,,,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:36:14.50,2023-10-05T16:36:14.5020902-04:00,2023-10-05T20:36:14.5020902Z,,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,2c2836f5-bab4-49d8-a123-ac27f967c040,55.16526,-111.41712,9.16406,5.81607,1.23889,-18.13179,-1.82846,6.97548,0.78314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-05,16:36:32.06,2,6,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Voytovich, Grant",1000098912,Right,BUC_BIS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Triple,0,0,,89.92066,-1.433969,-2.04496,2438.432983,206.938522,1:00,5.6643,1.87233,6.43602,-17.79336,16.01355,7.59953,2.86261,0.62553,82.30557,-4.832811,-0.667764,0.418479,96.82955,31.963401,-14.149544,3193.243757,106.99225,65.22291,-25.54543,394.20524,394.20524,-10.952337,5.424899,-4.57,9.11056,-1.73035,50,5.55416,4.37364,-130.68114,-3.76098,-7.90467,27.47714,-16.41562,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20231005-DepewField-Private-2,ded85680-63be-11ee-91d8-3d176314e663,90.06999,97.35632,,7.61509,,,,1.8924,2.9567,-0.62527,1937f415-37d9-4053-9b83-da2802d3044a,2023-10-05,20:36:32.06,2023-10-05T16:36:32.0625638-04:00,2023-10-05T20:36:32.0625638Z,FlyBall,v3,471249,471249,,"Nascimento, Luke",10109928,Right,BUC_BIS,80939e45-9a8c-4f4e-b500-a325f1995d64,54.06386,-131.53283,13.73857,5.66285,-3.25216,-8.20781,-1.86971,4.61865,-3.95234,187.003909,1.89716,116.73735,-21.16503,4.77699,-0.73649,0.06565,-0.00241,9E-05,-1E-05,2.95452,75.21525,-16.25811,0.54,0.07594,-0.08123,0.02571,-0.0036,0.00019,-0.62688,-29.42231,7.00253,-1.49706,0.21174,-0.01428,-0.00017,3E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
