PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-03,11:59:34.21,1,1,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,79.03046,-0.928703,-2.927875,2008.250852,210.179733,1:00,6.13188,1.57735,8.13127,-32.34872,8.36756,4.18831,2.60901,-0.67994,73.21178,-7.156485,-2.143923,0.459257,,,,,,,,,,,,-3.10394,5.29343,-1.45596,50,6.08882,5.78558,-115.14513,-2.44581,-4.19312,20.13505,-25.02317,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,d9000600-6205-11ee-bad8-d71d6f267268,82.07272,,,5.81867,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,15:59:34.21,2023-10-03T11:59:34.2100000-04:00,2023-10-03T15:59:34.2100000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,91ac1a66-990b-46d7-9ee6-d839bf8c9c47,52.36896,-115.55864,10.06753,6.13377,-1.93192,-12.51158,-1.57567,5.8717,-2.09656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-03,11:59:44.60,1,2,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,80.69026,-0.075401,-1.298846,1901.933784,203.777685,12:45,6.20292,1.3907,7.85589,-27.11151,12.14339,4.87658,3.87619,0.63544,74.78534,-5.304229,-0.390048,0.450939,,,,,,,,,,,,-3.01016,7.083,-1.33094,50,6.19408,2.53531,-117.66713,-0.66696,-4.26606,20.0579,-22.13588,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,df2e8330-6205-11ee-bad8-d71d6f267268,83.58647,,,5.90492,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,15:59:44.60,2023-10-03T11:59:44.6060000-04:00,2023-10-03T15:59:44.6060000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,2f21d327-e2d9-43fc-9900-c9fdb265d013,52.64381,-118.11694,10.02895,6.20347,-0.17055,-11.06794,-1.38886,2.63098,-2.13303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-03,12:00:07.83,1,3,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.0147,-2.024945,-3.932979,1943.536949,228.924374,1:45,6.15383,1.62694,6.55043,-28.76025,10.70225,10.91083,1.89512,-1.07601,76.59098,-7.412175,-1.954681,0.45213,,,,,,,,,,,,-6.81233,6.51618,-1.35947,50,6.00117,7.90608,-120.48193,-5.06359,-10.065,22.27683,-22.54657,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,ed017bc0-6205-11ee-bad8-d71d6f267268,83.36634,,,6.42372,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:00:07.83,2023-10-03T12:00:07.8360000-04:00,2023-10-03T16:00:07.8360000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,98530233-ac7d-4e17-87a6-19ebb08a4ff0,53.95031,-121.21014,11.13842,6.15465,-4.32657,-11.27328,-1.62328,8.23509,-5.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-03,12:00:21.02,1,4,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,83.15146,0.501539,-2.616248,2134.671779,212.26858,1:00,6.12288,1.6187,6.41756,-30.34482,8.87701,4.91063,4.05571,-0.37889,76.84103,-5.175122,-1.727375,0.450749,,,,,,,,,,,,-3.2113,4.86752,-1.43393,50,6.14483,5.34621,-120.90439,0.18072,-4.80371,21.23708,-24.89287,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,f4dd33c0-6205-11ee-bad8-d71d6f267268,83.62171,,,6.31043,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:00:21.02,2023-10-03T12:00:21.0280000-04:00,2023-10-03T16:00:21.0280000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,f5a8e75b-8773-4876-8e51-ef5c4b04bf87,54.08192,-121.61928,10.61854,6.12465,1.01866,-12.44643,-1.61662,5.50792,-2.40186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-03,12:00:53.49,1,5,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,82.51997,-1.652923,-2.761402,2063.556919,224.595892,1:30,6.07576,1.4158,6.41721,-31.67124,8.00733,6.84209,1.91475,-0.55459,76.90694,-7.532105,-1.521471,0.453367,,,,,,,,,,,,-4.26559,4.89815,-1.22167,50,5.94291,5.55266,-120.00924,-4.38179,-6.31328,19.99015,-24.92453,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,0836a9b0-6206-11ee-bad8-d71d6f267268,83.139,,,5.61303,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:00:53.49,2023-10-03T12:00:53.4920000-04:00,2023-10-03T16:00:53.4920000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,9d6d552a-0a8b-46f4-8932-5f4ab6c99506,54.08455,-120.6877,9.99507,6.07727,-3.53587,-12.46227,-1.41376,5.76693,-3.15664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-03,12:01:20.68,1,6,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,84.04801,-3.546446,-1.79544,2009.418651,218.906145,1:15,6.01778,1.59583,6.70977,-29.27313,8.43221,6.02807,0.33041,0.45622,78.90582,-8.975021,-0.694927,0.44195,,,,,,,,,,,,-3.62256,5.55386,-1.47912,50,5.77053,3.63241,-122.22874,-8.38871,-5.58848,19.63116,-23.60615,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,186d82e0-6206-11ee-bad8-d71d6f267268,85.28672,,,5.14218,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:01:20.68,2023-10-03T12:01:20.6860000-04:00,2023-10-03T16:01:20.6860000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,a220a3c1-e4ad-4d35-9a9a-72f5aeac7ce0,53.79252,-122.83635,9.81558,6.01886,-7.65807,-11.80307,-1.59422,3.80539,-2.79424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-03,12:01:32.70,1,7,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.42479,-3.088567,-1.886149,1960.031642,220.751701,1:15,6.0942,1.45683,6.44477,-28.57604,10.35355,7.97847,0.87069,0.38801,77.63177,-8.398171,-0.437493,0.449067,,,,,,,,,,,,-4.66595,6.52154,-1.32657,50,5.86186,3.71253,-121.23668,-7.36239,-7.02674,21.07718,-22.35292,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,1f9bbcd0-6206-11ee-bad8-d71d6f267268,83.93498,,,5.79301,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:01:32.70,2023-10-03T12:01:32.7090000-04:00,2023-10-03T16:01:32.7090000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,580aa262-2d41-41c5-8be4-32118dcaba4c,54.05617,-121.93981,10.53859,6.09504,-6.61669,-11.17646,-1.45432,3.94694,-3.51337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-03,12:01:44.25,1,8,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,83.2295,-2.58436,-2.011962,2156.507726,211.956451,1:00,5.95268,1.37229,6.56043,-28.56887,10.19087,5.7102,1.19949,0.00279,77.69735,-7.902915,-0.973347,0.448087,,,,,,,,,,,,-3.49504,6.2926,-1.23602,50,5.76207,4.05796,-121.0573,-6.26537,-5.26922,20.09877,-22.6871,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,26815500-6206-11ee-bad8-d71d6f267268,84.11866,,,5.53215,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:01:44.25,2023-10-03T12:01:44.2570000-04:00,2023-10-03T16:01:44.2570000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,a4c10f95-54e6-4cd4-b5c7-5671314fc2c6,53.94095,-121.70985,10.04939,5.95353,-5.52879,-11.34355,-1.37055,4.22904,-2.63461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-03,12:02:03.43,1,9,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,81.68717,-2.623958,-1.130978,2070.57268,213.949378,1:15,6.08793,1.53606,6.65784,-30.52931,9.6113,5.73233,1.14045,0.97865,76.1952,-8.312673,-0.085426,0.455999,,,,,,,,,,,,-3.30351,6.0587,-1.4622,50,5.89904,2.15358,-118.84205,-6.2758,-4.78992,19.82064,-23.38928,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,31f6ae80-6206-11ee-bad8-d71d6f267268,82.65911,,,5.49197,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:02:03.43,2023-10-03T12:02:03.4360000-04:00,2023-10-03T16:02:03.4360000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,b6051c63-a8c6-4fa8-a7d7-7c719d6ba34b,53.84261,-119.4812,9.91032,6.08926,-5.52157,-11.69464,-1.53414,2.30804,-2.39496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-03,12:02:23.44,1,10,"Julks, Kobe",10025771,Right,BUC_BIS,"test1, TestK",10157490,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.77824,-0.822484,-1.957287,1884.760664,209.30514,1:00,6.01328,1.74193,6.58124,-27.28226,11.01961,5.58937,2.9855,0.41325,77.66031,-5.94496,-0.941117,0.445432,,,,,,,,,,,,-3.41835,6.33973,-1.60993,50,5.94526,3.96863,-121.91152,-2.50676,-5.20682,21.24939,-22.51743,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20231003-DepewField-Private-1,3de1d440-6206-11ee-bad8-d71d6f267268,84.61995,,,6.11793,,,,,,,f83887f2-bf12-4da5-bbf9-b4b3879a7a9f,2023-10-03,16:02:23.44,2023-10-03T12:02:23.4400000-04:00,2023-10-03T16:02:23.4400000Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,97de69d3-bce1-4ba7-8d2a-c55175645f71,53.91862,-122.59264,10.6247,6.01405,-1.78499,-11.25871,-1.73982,4.13552,-2.60341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
